Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2513,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
2519,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
2526,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2533,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x00,,"Status word = 0x0310"
2540,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
2547,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
2554,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
2660,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
2867,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
3074,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
3281,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
3388,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
3495,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
3502,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4008,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
4615,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4622,RX,0x181,6,0x40,0x40,0x10,0x43,0x80,0x00,0x0B,,"Status word = 0x4310"
4629,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4636,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4721,RX,0x181,6,0x40,0x40,0x10,0x43,0x80,0x00,0x0B,,"Status word = 0x4310"
